Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
3/10/19,647.20,0.00,14.17,633.03,0.00,633.03,100.00%,0.00
3/9/19,1209.20,0.00,152.88,1056.32,0.00,1056.32,100.00%,0.00
3/8/19,1004.30,0.00,119.52,884.78,0.00,884.78,100.00%,0.00
3/7/19,622.40,0.00,0.00,622.40,0.00,622.40,100.00%,0.00
3/6/19,738.60,0.00,5.30,733.30,0.00,733.30,100.00%,0.00
3/5/19,637.10,0.00,8.45,628.65,0.00,628.65,100.00%,0.00
3/4/19,1014.60,0.00,18.55,996.05,0.00,996.05,100.00%,0.00
3/3/19,624.00,0.00,71.29,552.71,0.00,552.71,100.00%,0.00
3/2/19,1101.50,0.00,48.71,1052.79,0.00,1052.79,100.00%,0.00
3/1/19,847.80,29.90,9.78,808.12,0.00,808.12,100.00%,0.00
2/28/19,1344.90,0.00,99.43,1245.47,0.00,1245.47,100.00%,0.00
2/27/19,784.70,0.00,11.12,773.58,0.00,773.58,100.00%,0.00
2/26/19,806.70,0.00,19.47,787.23,0.00,787.23,100.00%,0.00
2/25/19,515.50,0.00,0.00,515.50,0.00,515.50,100.00%,0.00
2/24/19,389.00,0.00,4.79,384.21,0.00,384.21,100.00%,0.00
2/23/19,985.90,0.00,7.49,978.41,0.00,978.41,100.00%,0.00
2/22/19,1082.70,0.00,29.42,1053.28,0.00,1053.28,100.00%,0.00
2/21/19,918.20,0.00,49.36,868.84,0.00,868.84,100.00%,0.00
2/20/19,804.40,0.00,40.89,763.51,0.00,763.51,100.00%,0.00
2/19/19,917.50,0.00,27.05,890.45,0.00,890.45,100.00%,0.00
2/18/19,1100.80,0.00,55.42,1045.38,0.00,1045.38,100.00%,0.00
2/17/19,634.40,0.00,91.35,543.05,0.00,543.05,100.00%,0.00
2/16/19,979.80,0.00,39.72,940.08,0.00,940.08,100.00%,0.00
2/15/19,1122.00,0.00,119.75,1002.25,0.00,1002.25,100.00%,0.00
2/14/19,677.50,0.00,14.69,662.81,0.00,662.81,100.00%,0.00
2/13/19,903.60,0.00,13.38,890.22,0.00,890.22,100.00%,0.00
2/12/19,873.60,0.00,55.55,818.05,0.00,818.05,100.00%,0.00
2/11/19,898.10,0.00,2.32,895.78,0.00,895.78,100.00%,0.00
2/10/19,805.70,0.00,22.45,783.25,0.00,783.25,100.00%,0.00
2/9/19,931.30,0.00,34.40,896.90,0.00,896.90,100.00%,0.00
2/8/19,1126.50,0.00,32.00,1094.50,0.00,1094.50,100.00%,0.00
2/7/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/6/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/5/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/4/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2/3/19,1025.40,0.00,20.26,1005.14,0.00,1005.14,100.00%,0.00
2/2/19,443.60,0.00,4.19,439.41,0.00,439.41,100.00%,0.00
2/1/19,691.60,0.00,14.22,677.38,0.00,677.38,100.00%,0.00
1/31/19,968.90,0.00,41.15,927.75,0.00,927.75,100.00%,0.00
1/30/19,1656.40,0.00,149.62,1506.78,0.00,1506.78,100.00%,0.00
1/29/19,790.80,0.00,19.28,771.52,0.00,771.52,100.00%,0.00
1/28/19,783.50,0.00,13.40,770.10,0.00,770.10,100.00%,0.00
1/27/19,555.80,0.00,7.79,548.01,0.00,548.01,100.00%,0.00
1/26/19,834.40,0.00,62.28,772.12,0.00,772.12,100.00%,0.00
1/25/19,758.80,0.00,31.28,727.52,0.00,727.52,100.00%,0.00
1/24/19,1012.20,0.00,70.31,941.89,0.00,941.89,100.00%,0.00
1/23/19,877.90,0.00,31.70,846.20,0.00,846.20,100.00%,0.00
1/22/19,755.50,0.00,61.45,694.05,0.00,694.05,100.00%,0.00
1/21/19,611.80,0.00,0.87,610.93,0.00,610.93,100.00%,0.00
1/20/19,697.70,49.20,62.00,586.50,0.00,586.50,100.00%,0.00
1/19/19,1046.30,0.00,93.41,952.89,0.00,952.89,100.00%,0.00
1/18/19,767.30,0.00,55.89,711.41,0.00,711.41,100.00%,0.00
1/17/19,867.80,0.00,38.67,829.13,0.00,829.13,100.00%,0.00
1/16/19,764.70,0.00,12.94,751.76,0.00,751.76,100.00%,0.00
1/15/19,752.30,0.00,12.56,739.74,0.00,739.74,100.00%,0.00
1/14/19,714.90,0.00,5.15,709.75,0.00,709.75,100.00%,0.00
1/13/19,487.70,0.00,12.19,475.51,0.00,475.51,100.00%,0.00
1/12/19,929.70,0.00,28.32,901.38,0.00,901.38,100.00%,0.00
1/11/19,882.40,0.00,71.82,810.58,0.00,810.58,100.00%,0.00
1/10/19,991.30,0.00,54.43,936.87,0.00,936.87,100.00%,0.00
1/9/19,788.00,0.00,35.37,752.63,0.00,752.63,100.00%,0.00
